Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Shaun Alexander*+,SEA,RB,28,16,16,0,0,0,0,0,370,1880,5.08,27,29,15,78,5.20,1,5,1,28,,,362,376.8,380.8,369.3,226,1,1
Larry Johnson*,KAN,RB,26,16,9,0,0,0,0,0,336,1750,5.21,20,49,33,343,10.39,1,5,4,21,,,327,360.3,370.3,343.8,191,2,2
LaDainian Tomlinson*,SDG,RB,26,16,16,3,4,47,3,0,339,1462,4.31,18,77,51,370,7.25,2,3,1,20,,,315,366.1,373.1,340.6,179,3,3
Tiki Barber*+,NYG,RB,30,16,16,0,1,0,0,0,357,1860,5.21,9,70,54,530,9.81,2,1,1,11,1,,305,359.0,366.0,332.0,169,4,4
Edgerrin James*,IND,RB,27,15,15,0,0,0,0,0,360,1506,4.18,13,50,44,337,7.66,1,2,1,14,,,266,310.3,317.3,288.3,130,5,5
Steve Smith Sr.*+,CAR,WR,26,16,16,0,0,0,0,0,4,25,6.25,1,150,103,1563,15.17,12,2,1,13,,,235,337.8,341.8,286.3,119,1,6
Clinton Portis,WAS,RB,24,16,16,1,2,17,1,0,352,1516,4.31,11,41,30,216,7.20,0,3,2,11,1,,242,271.9,279.9,256.9,106,6,7
Antonio Gates*+,SDG,TE,25,15,15,0,0,0,0,0,0,0,,0,140,89,1101,12.37,10,0,,10,,,170,259.1,262.1,214.6,93,1,8
Rudi Johnson,CIN,RB,26,16,14,0,0,0,0,0,337,1458,4.33,12,30,23,90,3.91,0,1,,12,,,227,249.8,252.8,238.3,91,7,9
LaMont Jordan,OAK,RB,27,14,14,0,0,0,0,0,272,1025,3.77,9,103,70,563,8.04,2,2,1,11,1,,225,294.8,301.8,259.8,89,8,10
Larry Fitzgerald*,ARI,WR,22,16,16,0,0,0,0,0,8,41,5.13,0,165,103,1409,13.68,10,0,,10,,,205,308.0,311.0,256.5,89,2,11
Chad Johnson*+,CIN,WR,27,16,16,0,0,0,0,0,5,33,6.60,0,155,97,1432,14.76,9,1,,9,,,201,297.5,300.5,249.0,84,3,12
Santana Moss*,WAS,WR,26,16,16,0,0,0,0,0,3,-3,-1.00,0,134,84,1483,17.65,9,3,1,9,,,200,284.0,288.0,242.0,84,4,13
Joey Galloway,TAM,WR,34,16,16,0,0,0,0,0,2,4,2.00,0,152,83,1287,15.51,10,0,,10,,,189,272.1,275.1,230.6,73,5,14
Torry Holt*,STL,WR,29,14,14,0,0,0,0,0,1,2,2.00,0,163,102,1331,13.05,9,2,,9,,,187,289.3,292.3,238.3,71,6,15
Anquan Boldin,ARI,WR,25,14,14,0,1,0,0,0,12,45,3.75,0,171,102,1402,13.75,7,2,1,7,1,,187,288.7,292.7,237.7,71,7,16
