player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,targets,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Jordy Nelson,GNB,WR,31.0,16,16,0,0,0,0,0,0,0,0.0,0,152.0,97,1257,12.96,14,1,1,14,0.0,0.0,208.0,304.7,308.7,256.2,82.0,2.0,11.0
Antonio Brown,PIT,WR,28.0,15,15,0,0,0,0,0,3,9,3.0,0,154.0,106,1284,12.11,12,0,0,12,0.0,0.0,201.0,307.3,310.3,254.3,75.0,3.0,12.0
Melvin Gordon,SDG,RB,23.0,13,11,0,0,0,0,0,254,997,3.93,10,57.0,41,419,10.22,2,2,2,12,0.0,0.0,210.0,250.6,258.6,230.1,73.0,8.0,13.0
Drew Brees,NOR,QB,37.0,16,16,471,673,5208,37,15,23,20,0.87,2,0.0,0,0,0.0,0,5,4,2,0.0,0.0,332.0,332.3,354.3,347.3,72.0,3.0,14.0
Odell Beckham Jr,NYG,WR,24.0,16,16,0,0,0,0,0,1,9,9.0,0,169.0,101,1367,13.53,10,3,1,10,0.0,0.0,196.0,296.6,300.6,246.1,69.0,4.0,15.0
Jordan Howard,CHI,RB,22.0,15,13,0,0,0,0,0,252,1313,5.21,6,50.0,29,298,10.28,1,2,1,7,0.0,0.0,201.0,230.1,237.1,215.6,64.0,9.0,16.0
Mark Ingram,NOR,RB,27.0,16,14,0,0,0,0,0,205,1043,5.09,6,58.0,46,319,6.93,4,2,2,10,2.0,0.0,196.0,242.2,250.2,219.2,59.0,10.0,17.0
TY Hilton,IND,WR,27.0,16,16,0,0,0,0,0,0,0,0.0,0,155.0,91,1448,15.91,6,0,0,6,1.0,0.0,183.0,273.8,276.8,228.3,57.0,5.0,18.0
Jay Ajayi,MIA,RB,23.0,15,12,0,0,0,0,0,260,1272,4.89,8,35.0,27,151,5.59,0,4,1,8,0.0,0.0,188.0,215.3,222.3,201.8,51.0,11.0,19.0
Julio Jones,ATL,WR,27.0,14,14,0,0,0,0,0,0,0,0.0,0,129.0,83,1409,16.98,6,0,0,6,0.0,0.0,177.0,259.9,262.9,218.4,51.0,6.0,20.0
Travis Kelce,KAN,TE,27.0,16,15,0,0,0,0,0,1,-5,-5.0,0,117.0,85,1125,13.24,4,0,0,4,1.0,0.0,138.0,223.0,226.0,180.5,51.0,1.0,21.0
Andrew Luck,IND,QB,27.0,15,15,346,545,4240,31,13,64,341,5.33,2,0.0,0,0,0.0,0,6,5,2,0.0,2.0,308.0,307.7,331.7,320.7,47.0,4.0,22.0
Davante Adams,GNB,WR,24.0,16,15,0,0,0,0,0,0,0,0.0,0,121.0,75,997,13.29,12,2,1,12,1.0,0.0,172.0,246.7,250.7,209.2,46.0,7.0,23.0
Brandin Cooks,NOR,WR,23.0,16,12,0,0,0,0,0,6,30,5.0,0,117.0,78,1173,15.04,8,1,0,8,0.0,0.0,168.0,246.3,249.3,207.3,42.0,8.0,24.0
Kirk Cousins,WAS,QB,28.0,16,16,406,606,4917,25,12,34,96,2.82,4,0.0,0,0,0.0,0,9,3,4,0.0,0.0,300.0,300.3,318.3,312.3,40.0,5.0,25.0
Greg Olsen,CAR,TE,31.0,16,16,0,0,0,0,0,0,0,0.0,0,129.0,80,1073,13.41,3,0,0,3,1.0,0.0,127.0,207.3,210.3,167.3,40.0,2.0,26.0
Frank Gore,IND,RB,33.0,16,16,0,0,0,0,0,263,1025,3.9,4,47.0,38,277,7.29,4,2,1,8,0.0,0.0,176.0,214.2,221.2,195.2,39.0,12.0,27.0
Kyle Rudolph,MIN,TE,27.0,16,16,0,0,0,0,0,0,0,0.0,0,132.0,83,840,10.12,7,0,0,7,0.0,0.0,126.0,209.0,212.0,167.5,39.0,3.0,28.0
Latavius Murray,OAK,RB,26.0,14,12,0,0,0,0,0,195,788,4.04,12,43.0,33,264,8.0,0,2,1,12,0.0,0.0,175.0,208.2,215.2,191.7,38.0,13.0,29.0
Michael Thomas,NOR,WR,23.0,15,12,0,0,0,0,0,0,0,0.0,0,121.0,92,1137,12.36,9,2,2,9,0.0,0.0,164.0,255.7,260.7,209.7,38.0,9.0,30.0
Jimmy Graham,SEA,TE,30.0,16,15,0,0,0,0,0,1,0,0.0,0,95.0,65,923,14.2,6,2,2,6,0.0,0.0,124.0,189.3,194.3,156.8,37.0,4.0,31.0
Delanie Walker,TEN,TE,32.0,15,9,0,0,0,0,0,2,11,5.5,0,102.0,65,800,12.31,7,1,0,7,0.0,0.0,123.0,188.1,191.1,155.6,36.0,5.0,32.0
Doug Baldwin,SEA,WR,28.0,16,15,1,1,15,1,0,3,2,0.67,0,125.0,94,1128,12.0,7,1,0,7,0.0,0.0,160.0,253.6,256.6,206.6,33.0,10.0,33.0
Tyreek Hill,KAN,WR,22.0,16,1,0,0,0,0,0,24,267,11.13,3,83.0,61,593,9.72,6,4,1,12,0.0,0.0,156.0,217.0,224.0,186.5,30.0,11.0,34.0
Isaiah Crowell,CLE,RB,23.0,16,16,0,0,0,0,0,198,952,4.81,7,53.0,40,319,7.98,0,2,2,7,0.0,0.0,165.0,205.1,213.1,185.1,28.0,14.0,35.0
Carlos Hyde,SFO,RB,26.0,13,13,0,0,0,0,0,217,988,4.55,6,33.0,27,163,6.04,3,5,3,9,1.0,0.0,165.0,192.1,201.1,178.6,28.0,15.0,36.0
Cameron Brate,TAM,TE,25.0,15,10,0,0,0,0,0,0,0,0.0,0,81.0,57,660,11.58,8,1,0,8,0.0,0.0,114.0,171.0,174.0,142.5,27.0,6.0,37.0
Dak Prescott,DAL,QB,23.0,16,16,311,459,3667,23,4,57,282,4.95,6,0.0,0,0,0.0,0,9,4,6,0.0,0.0,287.0,286.9,300.9,290.9,26.0,6.0,38.0
Martellus Bennett,NWE,TE,29.0,16,12,0,0,0,0,0,2,10,5.0,0,73.0,55,701,12.75,7,0,0,7,0.0,0.0,113.0,168.1,171.1,140.6,26.0,7.0,39.0
Spencer Ware,KAN,RB,25.0,14,14,0,0,0,0,0,214,921,4.3,3,42.0,33,447,13.55,2,4,3,5,0.0,0.0,161.0,193.8,202.8,177.3,24.0,16.0,40.0
Michael Crabtree,OAK,WR,29.0,16,16,0,0,0,0,0,0,0,0.0,0,145.0,89,1003,11.27,8,2,0,8,1.0,0.0,150.0,239.3,242.3,194.8,24.0,12.0,41.0
Lamar Miller,HOU,RB,25.0,14,14,0,0,0,0,0,268,1073,4.0,5,39.0,31,188,6.06,1,2,1,6,0.0,0.0,160.0,191.1,198.1,175.6,23.0,18.0,42.0
Tevin Coleman,ATL,RB,23.0,13,0,0,0,0,0,0,118,520,4.41,8,40.0,31,421,13.58,3,1,0,11,0.0,0.0,160.0,191.1,197.1,175.6,23.0,17.0,43.0
Amari Cooper,OAK,WR,22.0,16,14,0,0,0,0,0,1,0,0.0,0,132.0,83,1153,13.89,5,2,0,5,2.0,0.0,149.0,232.3,235.3,190.8,23.0,13.0,44.0
Tyrell Williams,SDG,WR,24.0,16,12,0,0,0,0,0,0,0,0.0,0,119.0,69,1059,15.35,7,0,0,7,0.0,0.0,148.0,216.9,219.9,182.4,22.0,14.0,45.0
Rishard Matthews,TEN,WR,27.0,16,9,0,0,0,0,0,0,0,0.0,0,108.0,65,945,14.54,9,1,1,9,0.0,0.0,147.0,211.5,215.5,179.0,20.0,15.0,46.0
Matthew Stafford,DET,QB,28.0,16,16,388,594,4327,24,10,37,207,5.59,2,1.0,0,0,0.0,0,3,2,2,0.0,1.0,280.0,279.8,297.8,289.8,19.0,7.0,47.0
Todd Gurley,LAR,RB,22.0,16,16,0,0,0,0,0,278,885,3.18,6,58.0,43,327,7.6,0,2,1,6,0.0,0.0,155.0,198.2,205.2,176.7,18.0,20.0,48.0
Jeremy Hill,CIN,RB,24.0,15,13,0,0,0,0,0,222,839,3.78,9,27.0,21,174,8.29,0,0,0,9,0.0,0.0,155.0,176.3,182.3,165.8,18.0,19.0,49.0
Zach Ertz,PHI,TE,26.0,14,12,0,0,0,0,0,0,0,0.0,0,106.0,78,816,10.46,4,0,0,4,0.0,0.0,106.0,183.6,186.6,144.6,18.0,8.0,50.0
Matt Forte,NYJ,RB,31.0,14,13,0,0,0,0,0,218,813,3.73,7,43.0,30,263,8.77,1,1,1,8,0.0,0.0,154.0,183.6,190.6,168.6,17.0,21.0,51.0
Jordan Reed,WAS,TE,26.0,12,8,0,0,0,0,0,0,0,0.0,0,89.0,66,686,10.39,6,1,1,6,0.0,0.0,103.0,168.6,172.6,135.6,15.0,9.0,52.0
Jarvis Landry,MIA,WR,24.0,16,16,0,1,0,0,0,5,17,3.4,0,131.0,94,1136,12.09,4,2,2,4,1.0,0.0,137.0,231.3,236.3,184.3,11.0,16.0,53.0
Larry Fitzgerald,ARI,WR,33.0,16,16,0,1,0,0,0,2,5,2.5,0,150.0,107,1023,9.56,6,2,1,6,0.0,0.0,137.0,243.8,247.8,190.3,11.0,17.0,54.0
Tyrod Taylor,BUF,QB,27.0,15,15,269,436,3023,17,6,95,580,6.11,6,0.0,0,0,0.0,0,4,2,6,1.0,1.0,271.0,270.9,284.9,276.9,10.0,8.0,55.0
Terrelle Pryor,CLE,WR,27.0,16,15,5,9,41,0,0,8,21,2.63,1,140.0,77,1007,13.08,4,1,0,5,1.0,0.0,136.0,213.4,216.4,174.9,10.0,18.0,56.0
Demaryius Thomas,DEN,WR,29.0,16,16,0,0,0,0,0,0,0,0.0,0,144.0,90,1083,12.03,5,2,2,5,0.0,1.0,136.0,226.3,231.3,181.3,10.0,19.0,57.0
Blake Bortles,JAX,QB,24.0,16,16,368,625,3905,23,16,58,359,6.19,3,1.0,1,20,20.0,1,8,6,4,1.0,1.0,270.0,271.1,299.1,286.6,9.0,9.0,58.0
Derek Carr,OAK,QB,25.0,15,15,357,560,3937,28,6,39,70,1.79,0,0.0,0,0,0.0,0,5,3,0,0.0,5.0,268.0,268.5,280.5,274.5,8.0,10.0,59.0
Kelvin Benjamin,CAR,WR,25.0,16,13,0,0,0,0,0,0,0,0.0,0,118.0,63,941,14.94,7,1,1,7,0.0,0.0,134.0,197.1,201.1,165.6,8.0,20.0,60.0
Antonio Gates,SDG,TE,36.0,14,9,0,0,0,0,0,0,0,0.0,0,93.0,53,548,10.34,7,1,1,7,0.0,0.0,95.0,147.8,151.8,121.3,8.0,10.0,61.0
Russell Wilson,SEA,QB,28.0,16,16,353,546,4219,21,11,72,259,3.6,1,2.0,2,14,7.0,1,8,2,2,0.0,1.0,268.0,270.1,289.1,280.1,7.0,11.0,62.0
Emmanuel Sanders,DEN,WR,29.0,16,16,0,0,0,0,0,1,4,4.0,0,137.0,79,1032,13.06,5,1,0,5,0.0,0.0,134.0,212.6,215.6,173.1,7.0,21.0,63.0
Hunter Henry,SDG,TE,22.0,15,10,0,0,0,0,0,0,0,0.0,0,53.0,36,478,13.28,8,1,1,8,0.0,0.0,94.0,129.8,133.8,111.8,7.0,11.0,64.0
Golden Tate,DET,WR,28.0,16,16,0,0,0,0,0,10,4,0.4,0,135.0,91,1077,11.84,4,2,1,4,1.0,0.0,132.0,223.1,227.1,177.6,6.0,23.0,65.0
Julian Edelman,NWE,WR,30.0,16,13,0,0,0,0,0,12,57,4.75,0,159.0,98,1106,11.29,3,3,2,3,1.0,0.0,132.0,230.3,235.3,181.3,6.0,22.0,66.0
Mike Wallace,BAL,WR,30.0,16,16,0,0,0,0,0,5,31,6.2,0,116.0,72,1017,14.13,4,1,0,4,1.0,0.0,131.0,202.8,205.8,166.8,5.0,24.0,67.0
Jamison Crowder,WAS,WR,23.0,16,9,0,0,0,0,0,2,-2,-1.0,0,99.0,67,847,12.64,7,2,1,8,0.0,0.0,131.0,197.5,201.5,164.0,4.0,25.0,68.0
Dez Bryant,DAL,WR,28.0,13,13,1,1,10,1,0,0,0,0.0,0,96.0,50,796,15.92,8,1,1,8,0.0,0.0,130.0,180.0,184.0,155.0,4.0,26.0,69.0
Bilal Powell,NYJ,RB,28.0,16,4,0,0,0,0,0,131,722,5.51,3,74.0,58,388,6.69,2,1,1,5,0.0,0.0,139.0,197.0,204.0,168.0,2.0,22.0,70.0
Kenny Britt,LAR,WR,28.0,15,15,0,0,0,0,0,0,0,0.0,0,111.0,68,1002,14.74,5,2,1,5,0.0,0.0,128.0,196.2,200.2,162.2,2.0,27.0,71.0
Jonathan Stewart,CAR,RB,29.0,13,13,0,0,0,0,0,218,824,3.78,9,21.0,8,60,7.5,0,3,2,9,0.0,0.0,138.0,146.4,151.4,142.4,1.0,23.0,72.0
Andy Dalton,CIN,QB,29.0,16,16,364,563,4206,18,8,46,184,4.0,4,0.0,0,0,0.0,0,9,3,4,0.0,0.0,261.0,260.6,277.6,268.6,0.0,12.0,73.0
Marcus Mariota,TEN,QB,23.0,15,15,276,451,3426,26,9,60,349,5.82,2,1.0,0,0,0.0,0,10,5,2,0.0,0.0,260.0,259.9,279.9,268.9,0.0,13.0,74.0
Tom Brady,NWE,QB,39.0,12,12,291,432,3554,28,2,28,64,2.29,0,0.0,0,0,0.0,0,5,0,0,0.0,1.0,259.0,258.6,263.6,260.6,0.0,15.0,75.0
Philip Rivers,SDG,QB,35.0,16,16,349,578,4386,33,21,14,35,2.5,0,0.0,0,0,0.0,0,9,5,0,0.0,0.0,259.0,258.9,287.9,279.9,0.0,14.0,76.0
Jameis Winston,TAM,QB,22.0,16,16,345,567,4090,28,18,53,165,3.11,1,0.0,0,0,0.0,0,10,6,1,0.0,3.0,256.0,256.1,286.1,274.1,0.0,16.0,77.0
Cam Newton,CAR,QB,27.0,15,14,270,510,3509,19,14,90,359,3.99,5,0.0,0,0,0.0,0,3,2,5,1.0,1.0,254.0,254.3,276.3,268.3,0.0,17.0,78.0
Ben Roethlisberger,PIT,QB,34.0,14,14,328,509,3819,29,13,16,14,0.88,1,0.0,0,0,0.0,0,8,2,1,0.0,3.0,252.0,252.2,270.2,265.2,0.0,18.0,0.0
Carson Palmer,ARI,QB,37.0,15,15,364,597,4233,26,14,14,38,2.71,0,0.0,0,0,0.0,0,14,4,0,0.0,1.0,243.0,243.1,264.1,257.1,0.0,19.0,0.0
Joe Flacco,BAL,QB,31.0,16,16,436,672,4317,20,15,21,58,2.76,2,0.0,0,0,0.0,0,5,3,2,0.0,4.0,242.0,242.5,263.5,257.5,0.0,20.0,0.0
Eli Manning,NYG,QB,35.0,16,16,377,598,4027,26,16,21,-9,-0.43,0,0.0,0,0,0.0,0,7,4,0,0.0,0.0,224.0,224.2,247.2,240.2,0.0,21.0,0.0
Alex Smith,KAN,QB,32.0,15,15,328,489,3502,15,8,48,134,2.79,5,1.0,1,3,3.0,0,7,4,5,0.0,2.0,224.0,224.8,242.8,232.3,0.0,22.0,0.0
Sam Bradford,MIN,QB,29.0,15,15,395,552,3877,20,5,20,53,2.65,0,1.0,1,5,5.0,0,10,5,0,0.0,0.0,221.0,221.9,234.9,226.4,0.0,23.0,0.0
Carson Wentz,PHI,QB,24.0,16,16,379,607,3782,16,14,46,150,3.26,2,1.0,1,7,7.0,0,14,3,2,1.0,1.0,213.0,214.0,237.0,227.5,0.0,24.0,0.0
Colin Kaepernick,SFO,QB,29.0,12,11,196,331,2241,16,4,69,468,6.78,2,0.0,0,0,0.0,0,9,3,2,1.0,0.0,200.0,200.4,213.4,204.4,0.0,25.0,0.0
Trevor Siemian,DEN,QB,25.0,14,14,289,486,3401,18,10,28,57,2.04,0,0.0,0,0,0.0,0,4,2,0,1.0,0.0,192.0,191.7,206.7,201.7,0.0,26.0,0.0
Ryan Tannehill,MIA,QB,28.0,13,13,261,389,2995,19,12,39,164,4.21,1,0.0,0,0,0.0,0,9,3,1,0.0,1.0,190.0,190.2,211.2,202.2,0.0,27.0,0.0
Brock Osweiler,HOU,QB,26.0,15,14,301,510,2957,15,16,30,131,4.37,2,1.0,1,-14,-14.0,0,5,1,2,0.0,0.0,168.0,169.0,192.0,184.5,0.0,28.0,0.0
Terrance West,BAL,RB,25.0,16,13,0,0,0,0,0,193,774,4.01,5,45.0,34,236,6.94,1,2,0,6,0.0,0.0,137.0,171.0,177.0,154.0,0.0,24.0,0.0
Ryan Fitzpatrick,NYJ,QB,34.0,14,11,228,403,2710,12,17,33,130,3.94,0,0.0,0,0,0.0,0,9,1,0,0.0,0.0,133.0,133.4,157.4,150.4,0.0,29.0,0.0
Ryan Mathews,PHI,RB,29.0,13,8,0,0,0,0,0,155,661,4.26,8,14.0,13,115,8.85,1,3,2,9,2.0,0.0,132.0,144.6,152.6,138.1,0.0,25.0,0.0
Kenny Stills,MIA,WR,24.0,16,16,0,0,0,0,0,0,0,0.0,0,81.0,42,726,17.29,9,0,0,9,0.0,0.0,127.0,168.6,171.6,147.6,0.0,28.0,0.0
Allen Robinson,JAX,WR,23.0,16,16,0,0,0,0,0,0,0,0.0,0,151.0,73,883,12.1,6,1,0,6,1.0,0.0,126.0,199.3,202.3,162.8,0.0,29.0,0.0
Adam Thielen,MIN,WR,26.0,16,10,0,0,0,0,0,2,15,7.5,0,92.0,69,967,14.01,5,2,1,5,0.0,0.0,126.0,195.2,199.2,160.7,0.0,30.0,0.0
DeSean Jackson,WAS,WR,30.0,15,15,0,0,0,0,0,0,0,0.0,0,100.0,56,1005,17.95,4,0,0,4,0.0,0.0,125.0,180.5,183.5,152.5,0.0,31.0,0.0
Pierre Garcon,WAS,WR,30.0,16,16,0,0,0,0,0,0,0,0.0,0,114.0,79,1041,13.18,3,0,0,3,0.0,0.0,122.0,201.1,204.1,161.6,0.0,32.0,0.0
Brandon LaFell,CIN,WR,30.0,16,14,0,0,0,0,0,1,-2,-2.0,0,107.0,64,862,13.47,6,0,0,6,0.0,0.0,122.0,186.0,189.0,154.0,0.0,33.0,0.0
Robert Kelley,WAS,RB,24.0,15,9,0,0,0,0,0,168,704,4.19,6,18.0,12,82,6.83,1,0,0,7,0.0,0.0,121.0,132.6,135.6,126.6,0.0,26.0,0.0
AJ Green,CIN,WR,28.0,10,10,0,0,0,0,0,0,0,0.0,0,100.0,66,964,14.61,4,0,0,4,0.0,0.0,120.0,186.4,189.4,153.4,0.0,34.0,0.0
Willie Snead,NOR,WR,24.0,15,4,1,1,50,1,0,0,0,0.0,0,104.0,72,895,12.43,4,2,0,4,0.0,0.0,120.0,191.5,194.5,155.5,0.0,35.0,0.0
DeAndre Hopkins,HOU,WR,24.0,16,16,0,0,0,0,0,0,0,0.0,0,151.0,78,954,12.23,4,0,0,4,0.0,0.0,119.0,197.4,200.4,158.4,0.0,36.0,0.0
Sterling Shepard,NYG,WR,23.0,16,16,0,0,0,0,0,3,31,10.33,0,105.0,65,683,10.51,8,0,0,8,0.0,0.0,119.0,184.4,187.4,151.9,0.0,37.0,0.0
Mike Gillislee,BUF,RB,26.0,15,1,0,0,0,0,0,101,577,5.71,8,11.0,9,50,5.56,1,1,0,9,0.0,0.0,117.0,125.7,128.7,121.2,0.0,27.0,0.0
Marvin Jones,DET,WR,26.0,15,15,0,0,0,0,0,1,3,3.0,0,103.0,55,930,16.91,4,0,0,4,0.0,0.0,117.0,172.3,175.3,144.8,0.0,38.0,0.0
Marqise Lee,JAX,WR,25.0,16,6,1,1,20,1,0,6,35,5.83,0,105.0,63,851,13.51,3,1,1,4,0.0,0.0,115.0,178.4,182.4,146.9,0.0,39.0,0.0
Christine Michael,2TM,RB,26.0,15,7,0,0,0,0,0,148,583,3.94,7,29.0,22,107,4.86,1,2,1,8,0.0,0.0,115.0,137.0,144.0,126.0,0.0,28.0,0.0
Cole Beasley,DAL,WR,27.0,16,6,0,1,0,0,0,1,7,7.0,0,98.0,75,833,11.11,5,0,0,5,0.0,0.0,114.0,189.0,192.0,151.5,0.0,40.0,0.0
Steve Smith Sr,BAL,WR,37.0,14,14,0,0,0,0,0,0,0,0.0,0,101.0,70,799,11.41,5,0,0,5,2.0,0.0,114.0,183.9,186.9,148.9,0.0,41.0,0.0
Cameron Meredith,CHI,WR,24.0,14,10,1,1,2,1,0,1,6,6.0,0,97.0,66,888,13.45,4,3,2,4,0.0,0.0,113.0,179.5,184.5,146.5,0.0,42.0,0.0
Devontae Booker,DEN,RB,24.0,16,6,0,0,0,0,0,174,612,3.52,4,45.0,31,265,8.55,1,4,3,5,0.0,0.0,112.0,142.7,151.7,127.2,0.0,29.0,0.0
Quincy Enunwa,NYJ,WR,24.0,16,13,0,0,0,0,0,1,12,12.0,0,105.0,58,857,14.78,4,0,0,4,0.0,0.0,111.0,168.9,171.9,139.9,0.0,43.0,0.0
Case Keenum,LAR,QB,28.0,10,9,196,322,2201,9,11,20,51,2.55,1,0.0,0,0,0.0,0,5,1,1,0.0,0.0,111.0,111.1,126.1,122.1,0.0,30.0,0.0
Darren Sproles,PHI,RB,33.0,15,5,0,0,0,0,0,94,438,4.66,2,71.0,52,427,8.21,2,1,0,4,0.0,0.0,111.0,162.5,168.5,136.5,0.0,30.0,0.0
Stefon Diggs,MIN,WR,23.0,13,11,0,0,0,0,0,3,10,3.33,0,112.0,84,903,10.75,3,0,0,3,0.0,0.0,109.0,193.3,196.3,151.3,0.0,44.0,0.0
Theo Riddick,DET,RB,25.0,10,8,0,0,0,0,0,92,357,3.88,1,67.0,53,371,7.0,5,0,0,6,0.0,0.0,109.0,161.8,167.8,135.3,0.0,31.0,0.0
Anquan Boldin,DET,WR,36.0,16,16,0,0,0,0,0,0,0,0.0,0,95.0,67,584,8.72,8,0,0,8,0.0,0.0,106.0,173.4,176.4,139.9,0.0,45.0,0.0
Taylor Gabriel,ATL,WR,25.0,13,3,0,0,0,0,0,4,51,12.75,1,50.0,35,579,16.54,6,0,0,7,0.0,0.0,105.0,140.0,143.0,122.5,0.0,47.0,0.0
Ted Ginn Jr,CAR,WR,31.0,16,8,0,0,0,0,0,14,98,7.0,0,95.0,54,752,13.93,4,3,2,4,0.0,0.0,105.0,159.0,164.0,132.0,0.0,48.0,0.0
Tim Hightower,NOR,RB,30.0,16,1,0,0,0,0,0,133,548,4.12,4,26.0,22,200,9.09,1,0,0,5,0.0,0.0,105.0,126.8,132.8,115.8,0.0,33.0,0.0
Dontrelle Inman,SDG,WR,27.0,16,16,0,0,0,0,0,0,0,0.0,0,97.0,58,810,13.97,4,0,0,4,0.0,0.0,105.0,163.0,166.0,134.0,0.0,49.0,0.0
Jerick McKinnon,MIN,RB,24.0,15,7,0,1,0,0,0,159,539,3.39,2,53.0,43,255,5.93,2,0,0,4,1.0,0.0,105.0,148.4,154.4,126.9,0.0,32.0,0.0
JJ Nelson,ARI,WR,24.0,15,6,0,0,0,0,0,4,83,20.75,1,74.0,34,568,16.71,6,1,1,7,0.0,0.0,105.0,139.1,143.1,122.1,0.0,46.0,0.0
Rashad Jennings,NYG,RB,31.0,13,12,0,0,0,0,0,181,593,3.28,3,42.0,35,201,5.74,1,1,0,4,0.0,0.0,103.0,138.4,144.4,120.9,0.0,34.0,0.0
James White,NWE,RB,24.0,16,4,0,0,0,0,0,39,166,4.26,0,86.0,60,551,9.18,5,0,0,5,0.0,0.0,102.0,161.7,167.7,131.7,0.0,35.0,0.0
Matt Asiata,MIN,RB,29.0,16,6,0,0,0,0,0,121,402,3.32,6,38.0,32,263,8.22,0,1,1,6,0.0,0.0,101.0,132.5,139.5,116.5,0.0,36.0,0.0
Chris Thompson,WAS,RB,26.0,16,0,0,0,0,0,0,68,356,5.24,3,62.0,49,349,7.12,2,2,1,5,0.0,0.0,99.0,147.5,154.5,123.0,0.0,37.0,0.0
Jordan Matthews,PHI,WR,24.0,14,13,0,0,0,0,0,0,0,0.0,0,117.0,73,804,11.01,3,1,0,3,0.0,0.0,98.0,171.4,174.4,134.9,0.0,50.0,0.0
DeVante Parker,MIA,WR,23.0,15,8,0,0,0,0,0,0,0,0.0,0,87.0,56,744,13.29,4,0,0,4,0.0,0.0,98.0,154.4,157.4,126.4,0.0,51.0,0.0
Brandon Marshall,NYJ,WR,32.0,15,15,0,0,0,0,0,0,0,0.0,0,128.0,59,788,13.36,3,0,0,3,0.0,0.0,97.0,155.8,158.8,126.3,0.0,52.0,0.0
Ty Montgomery,GNB,RB,23.0,15,6,0,0,0,0,0,77,457,5.94,3,56.0,44,348,7.91,0,2,1,3,0.0,0.0,97.0,140.5,147.5,118.5,0.0,38.0,0.0
Alshon Jeffery,CHI,WR,26.0,12,12,0,0,0,0,0,0,0,0.0,0,94.0,52,821,15.79,2,0,0,2,0.0,0.0,94.0,146.1,149.1,120.1,0.0,53.0,0.0
Derrick Henry,TEN,RB,22.0,15,2,0,0,0,0,0,110,490,4.45,5,15.0,13,137,10.54,0,0,0,5,0.0,0.0,93.0,105.7,111.7,99.2,0.0,39.0,0.0
Chris Hogan,NWE,WR,29.0,15,14,0,0,0,0,0,3,9,3.0,0,58.0,38,680,17.89,4,1,1,4,0.0,0.0,91.0,128.9,132.9,109.9,0.0,54.0,0.0
Duke Johnson,CLE,RB,23.0,16,1,0,1,0,0,0,73,358,4.9,1,74.0,53,514,9.7,0,2,1,1,0.0,0.0,91.0,144.2,151.2,117.7,0.0,40.0,0.0
