player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,targets,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Marshall Faulk,STL,RB,26.0,16,16,0,1,0,0,0,253,1381,5.46,7,103.0,87,1048,12.05,5,2,2,12,1.0,0.0,313.0,399.9,407.9,356.4,187.0,1.0,1.0
Edgerrin James,IND,RB,21.0,16,16,0,0,0,0,0,369,1553,4.21,13,82.0,62,586,9.45,4,8,4,17,0.0,0.0,308.0,369.9,379.9,338.9,182.0,2.0,2.0
Kurt Warner,STL,QB,28.0,16,16,325,499,4353,41,13,23,92,4.0,1,0.0,0,0,0.0,0,9,5,1,0.0,1.0,319.0,319.3,340.3,332.3,131.0,1.0,3.0
Stephen Davis,WAS,FB,25.0,14,14,0,0,0,0,0,290,1405,4.84,17,28.0,23,111,4.83,0,4,1,17,1.0,0.0,254.0,276.6,283.6,265.1,128.0,3.0,4.0
Eddie George,TEN,RB,26.0,16,16,0,0,0,0,0,320,1304,4.08,9,65.0,47,458,9.74,4,5,4,13,0.0,0.0,246.0,293.2,303.2,269.7,120.0,4.0,5.0
Marvin Harrison,IND,WR,27.0,16,16,0,0,0,0,0,1,4,4.0,0,184.0,115,1663,14.46,12,2,1,12,1.0,0.0,239.0,353.7,357.7,296.2,115.0,1.0,6.0
Steve Beuerlein,CAR,QB,34.0,16,16,343,571,4436,36,15,27,124,4.59,2,0.0,0,0,0.0,0,12,8,2,0.0,0.0,300.0,299.8,328.8,314.8,111.0,2.0,7.0
Emmitt Smith,DAL,RB,30.0,15,15,0,0,0,0,0,329,1397,4.25,11,32.0,27,119,4.41,2,5,3,13,0.0,0.0,224.0,250.6,259.6,237.1,98.0,5.0,8.0
Randy Moss,MIN,WR,22.0,16,16,1,1,27,1,0,4,43,10.75,0,137.0,80,1413,17.66,11,3,1,12,0.0,0.0,221.0,300.7,304.7,260.7,97.0,2.0,9.0
Wesley Walls,CAR,TE,33.0,16,16,0,0,0,0,0,0,0,0.0,0,108.0,63,822,13.05,12,1,1,12,0.0,0.0,152.0,215.2,219.2,183.7,94.0,1.0,10.0
Tony Gonzalez,KAN,TE,23.0,15,15,0,0,0,0,0,0,0,0.0,0,104.0,76,849,11.17,11,2,1,11,0.0,0.0,149.0,224.9,228.9,186.9,90.0,2.0,11.0
Dorsey Levens,GNB,RB,29.0,14,14,0,0,0,0,0,279,1034,3.71,9,81.0,71,573,8.07,1,5,5,10,0.0,0.0,211.0,281.7,292.7,246.2,85.0,6.0,12.0
Charlie Garner,SFO,RB,27.0,16,15,0,0,0,0,0,241,1229,5.1,4,76.0,56,535,9.55,2,4,2,6,0.0,0.0,208.0,264.4,272.4,236.4,82.0,7.0,13.0
Cris Carter,MIN,WR,34.0,16,16,0,0,0,0,0,0,0,0.0,0,137.0,90,1241,13.79,13,0,0,13,0.0,0.0,202.0,292.1,295.1,247.1,78.0,3.0,14.0
Curtis Martin,NYJ,RB,26.0,16,16,0,0,0,0,0,367,1464,3.99,5,49.0,45,259,5.76,0,2,0,5,0.0,0.0,202.0,247.3,253.3,224.8,76.0,8.0,15.0
Jimmy Smith,JAX,WR,30.0,16,16,0,0,0,0,0,0,0,0.0,0,173.0,116,1636,14.1,6,1,1,6,1.0,0.0,200.0,315.6,319.6,257.6,76.0,4.0,16.0
Marcus Robinson,CHI,WR,24.0,16,11,0,0,0,0,0,0,0,0.0,0,149.0,84,1400,16.67,9,0,0,9,0.0,0.0,194.0,278.0,281.0,236.0,70.0,5.0,17.0
Isaac Bruce,STL,WR,27.0,16,16,0,0,0,0,0,5,32,6.4,0,120.0,77,1165,15.13,12,0,0,12,1.0,0.0,194.0,270.7,273.7,232.2,70.0,6.0,18.0
Rich Gannon,OAK,QB,34.0,16,16,304,515,3840,24,14,46,298,6.48,2,1.0,1,-3,-3.0,0,8,4,2,0.0,1.0,257.0,258.1,282.1,271.6,69.0,3.0,19.0
